---- START ----

1200000|1|1|0|37|2091766|1067280
1200000|2|0|0|37|2091766|1133496
1200000|2|1|0|37|2091766|1121688
1200000|3|0|0|37|2091766|1182259
1200000|3|1|0|37|2091766|1158452
1200000|4|0|0|37|2091766|1112727
1200000|4|1|0|37|2091766|1088826
1200000|5|0|0|37|2091766|1128445
1200000|5|1|0|37|2091766|1113347
1200000|0|0|0|38|2151559|1200332
1200000|0|1|0|38|2151559|1199370
1200000|1|0|0|38|2151559|1090160
1200000|1|1|0|38|2151559|1067621
1200000|2|0|0|38|2151559|1134241
1200000|2|1|0|38|2151559|1122151
1200000|3|0|0|38|2151559|1181794
1200000|3|1|0|38|2151559|1158452
1200000|4|0|0|38|2151559|1113312
1200000|4|1|0|38|2151559|1089352
1200000|5|0|0|38|2151559|1127909
1200000|5|1|0|38|2151559|1113748
1200000|0|0|0|39|2207622|1199589
1200000|0|1|0|39|2207622|1200676
1200000|1|0|0|39|2207622|1089382
1200000|1|1|0|39|2207622|1067343
1200000|2|0|0|39|2207622|1133900
1200000|2|1|0|39|2207622|1122213
1200000|3|0|0|39|2207622|1182602
1200000|3|1|0|39|2207622|1158295
1200000|4|0|0|39|2207622|1112821
1200000|4|1|0|39|2207622|1089631
1200000|5|0|0|39|2207622|1129090
1200000|5|1|0|39|2207622|1113868
1200000|0|0|0|40|2263688|1200421
1200000|0|1|0|40|2263688|1200023
1200000|1|0|0|40|2263688|1090934
1200000|1|1|0|40|2263688|1067590
1200000|2|0|0|40|2263688|1134087
1200000|2|1|0|40|2263688|1122494
1200000|3|0|0|40|2263688|1181729
1200000|3|1|0|40|2263688|1158980
1200000|4|0|0|40|2263688|1112912
1200000|4|1|0|40|2263688|1088859
1200000|5|0|0|40|2263688|1128135
1200000|5|1|0|40|2263688|1114184
1200000|0|0|0|41|2319765|1200053
1200000|0|1|0|41|2319765|1199746
1200000|1|0|0|41|2319765|1091090
1200000|1|1|0|41|2319765|1067748
1200000|2|0|0|41|2319765|1134861
1200000|2|1|0|41|2319765|1122398
1200000|3|0|0|41|2319765|1181918
1200000|3|1|0|41|2319765|1158886
1200000|4|0|0|41|2319765|1113719
1200000|4|1|0|41|2319765|1089476
1200000|5|0|0|41|2319765|1128290
1200000|5|1|0|41|2319765|1114152
1200000|0|0|0|42|2379582|1199180
1200000|0|1|0|42|2379582|1200302
1200000|1|0|0|42|2379582|1089538
1200000|1|1|0|42|2379582|1068118
1200000|2|0|0|42|2379582|1133280
1200000|2|1|0|42|2379582|1122739
1200000|3|0|0|42|2379582|1182508
1200000|3|1|0|42|2379582|1159319
1200000|4|0|0|42|2379582|1113069
1200000|4|1|0|42|2379582|1089905
1200000|5|0|0|42|2379582|1129034
1200000|5|1|0|42|2379582|1114369
1200000|0|0|0|43|2435657|1199769
1200000|0|1|0|43|2435657|1199651
1200000|1|0|0|43|2435657|1091338
1200000|1|1|0|43|2435657|1068213
1200000|2|0|0|43|2435657|1134551
1200000|2|1|0|43|2435657|1122739
1200000|3|0|0|43|2435657|1182447
1200000|3|1|0|43|2435657|1159257
1200000|4|0|0|43|2435657|1113102
1200000|4|1|0|43|2435657|1089538
1200000|5|0|0|43|2435657|1128656
1200000|5|1|0|43|2435657|1114555
1200000|0|0|0|44|2491752|1199807
1200000|0|1|0|44|2491752|1200023
1200000|1|0|0|44|2491752|1090902
1200000|1|1|0|44|2491752|1068082
1200000|2|0|0|44|2491752|1134797
1200000|2|1|0|44|2491752|1122647
1200000|3|0|0|44|2491752|1182446
1200000|3|1|0|44|2491752|1159475
1200000|4|0|0|44|2491752|1113502
1200000|4|1|0|44|2491752|1089849
1200000|5|0|0|44|2491752|1129869
1200000|5|1|0|44|2491752|1114400
1200000|0|0|0|45|2551602|1200083
1200000|0|1|0|45|2551602|1199897
1200000|1|0|0|45|2551602|1090935
1200000|1|1|0|45|2551602|1068738
1200000|2|0|0|45|2551602|1134334
1200000|2|1|0|45|2551602|1123421
1200000|3|0|0|45|2551602|1182256
1200000|3|1|0|45|2551602|1159722
1200000|4|0|0|45|2551602|1113501
1200000|4|1|0|45|2551602|1090374
1200000|5|0|0|45|2551602|1129282
1200000|5|1|0|45|2551602|1114617
1200000|0|0|0|46|2603964|1199650
1200000|0|1|0|46|2603964|1200147
1200000|1|0|0|46|2603964|1091802
1200000|1|1|0|46|2603964|1068520
1200000|2|0|0|46|2603964|1134924
